76011002,76011002
76022014,"Joaquim Pires, Murici dos Portelas, Caxingó, Buriti dos Lopes, Caraúbas do Piauí  [Municipality: Brazil]"
76022015,"União, Lagoa Alegre  [Municipality: Brazil]"
76022016,"Uruçuí, Palmeira do Piauí, Sebastião Leal, Antônio Almeida, Porto Alegre do Piauí, Bertolínia, Canavieira,"
"",Jerumenha  [Municipality: Brazil]
76022017,"Angical do Piauí, Agricolândia, Santo Antônio dos Milagres, São Gonçalo do Piauí, Água Branca, Lagoinha do"
"","Piauí, Olho D'Água do Piauí, Barro Duro  [Municipality: Brazil]"
76022018,"Altos, Coivaras, Pau D'Arco do Piauí  [Municipality: Brazil]"
76022019,"Ribeira do Piauí, João Costa, São João do Piauí, Pedro Laurentino, Nova Santa Rita, Capitão Gervásio"
"","Oliveira, Campo Alegre do Fidalgo, Lagoa do Barro do Piauí  [Municipality: Brazil]"
76022020,"São Miguel do Tapuio, Santa Cruz dos Milagres, Aroazes, Pimenteiras, Assunção do Piauí  [Municipality:"
"",Brazil]
76022021,"Guaribas, Canto do Buriti, Caracol, Tamboril do Piauí, Brejo do Piauí, Pajeú do Piauí  [Municipality: Brazil]"
76022022,"Esperantina, Morro do Chapéu do Piauí  [Municipality: Brazil]"
76022023,"Valença do Piauí, Lagoa do Sítio, São João da Canabrava, Bocaina, São Luis do Piauí  [Municipality: Brazil]"
76022024,José de Freitas  [Municipality: Brazil]
76022025,"Colônia do Gurguéia, Eliseu Martins, Pavussu, Itaueira, Rio Grande do Piauí, Flores do Piauí  [Municipality:Brazil]",,,,
"",76022026,,,"Corrente, Cristalândia do Piauí, Sebastião Barros  [Municipality: Brazil]",
76022027,Miguel Alves  [Municipality: Brazil],,,,
"",76022028,,,"Cocal, Cocal dos Alves  [Municipality: Brazil]",
76022029,"Curimatá, Júlio Borges, Morro Cabeça no Tempo, Avelino Lopes  [Municipality: Brazil]",,,,
"",76022030,,,"Castelo do Piauí, Juazeiro do Piauí, Buriti dos Montes  [Municipality: Brazil]",
76022031,"Palmeirais, Amarante  [Municipality: Brazil]",,,,
"",76022032,,,"Curralinhos, São Pedro do Piauí, Miguel Leão, Monsenhor Gil  [Municipality: Brazil]",
76022033,"Várzea Grande, Barra D'Alcântara, Novo Oriente do Piauí, Inhuma  [Municipality: Brazil]",,,,
"",76022034,,,"São Julião, Alegrete do Piauí, Caldeirão Grande do Piauí, Fronteiras  [Municipality: Brazil]",
76022035,"Porto, Nossa Senhora dos Remédios, Campo Largo do Piauí  [Municipality: Brazil]",,,,
"",76022036,,,"Alvorada do Gurguéia, Manoel Emídio, Santa Luz, Cristino Castro  [Municipality: Brazil]",
76022037,"Regeneração, Jardim do Mulato, Hugo Napoleão  [Municipality: Brazil]",,,,
"",76022038,,,"Pio IX, Alagoinha do Piauí  [Municipality: Brazil]",
76022039,"Santa Filomena, Ribeiro Gonçalves, Baixa Grande do Ribeiro  [Municipality: Brazil]",,,,
"",76022040,,,"Belém do Piauí, Padre Marcos, Vila Nova do Piauí, Francisco Macedo, Marcolândia  [Municipality: Brazil]",
76022041,"Alto Longá, São João da Serra, Novo Santo Antônio  [Municipality: Brazil]",,,,
"",76022042,,,"Ipiranga do Piauí, Dom Expedito Lopes, São José do Piauí  [Municipality: Brazil]",
76022043,"Santo Antônio de Lisboa, Francisco Santos, Monsenhor Hipólito  [Municipality: Brazil]",,,,
"",76022044,,,"Barreiras do Piauí, São Gonçalo do Gurguéia, Riacho Frio, Parnaguá  [Municipality: Brazil]",
76022045,"Landri Sales, Marcos Parente, Guadalupe  [Municipality: Brazil]",,,,
"",76023001,,,Fortaleza  [Municipality: Brazil],
76023002,Caucaia  [Municipality: Brazil],,,,
"",76023003,,,"Maranguape, Maracanaú  [Municipality: Brazil]",
76023004,Juazeiro do Norte  [Municipality: Brazil],,,,
"",76023005,,,"Sobral, Groaíras, Forquilha  [Municipality: Brazil]",
76023006,"Miraíma, Amontada, Itapipoca  [Municipality: Brazil]",,,,
"",76023007,,,"Choró, Quixadá, Itapiúna, Banabuiú, Ibaretama  [Municipality: Brazil]",
76023008,"Pacajus, Horizonte, Chorozinho  [Municipality: Brazil]",,,,
"",76023009,,,"Jijoca de Jericoacoara, Cruz, Acaraú, Itarema  [Municipality: Brazil]",
76023010,"Guaiúba, Pacatuba, Itaitinga  [Municipality: Brazil]",,,,
"",76023011,,,Crato  [Municipality: Brazil],
76023012,"Aquiraz, Eusébio  [Municipality: Brazil]",,,,
"",76023013,,,"Iguatu, Quixelô  [Municipality: Brazil]",
76023014,"Itatira, Madalena, Quixeramobim  [Municipality: Brazil]",,,,
"",76023015,,,"Aracati, Fortim, Icapuí  [Municipality: Brazil]",
76023016,"Canindé, Paramoti  [Municipality: Brazil]",,,,
"",76023017,,,"Poranga, Crateús  [Municipality: Brazil]",
76023018,"Cascavel, Pindoretama  [Municipality: Brazil]",,,,
"",76023019,,,"Catarina, Acopiara, Piquet Carneiro  [Municipality: Brazil]",
76023020,"Morada Nova, Ibicuitinga, São João do Jaguaribe  [Municipality: Brazil]",,,,
"",76023021,,,"Barroquinha, Camocim  [Municipality: Brazil]",
76023022,Tianguá  [Municipality: Brazil],,,,
"",76023023,,,"Croatá, Guaraciaba do Norte, Carnaubal  [Municipality: Brazil]",
76023024,"Cariré, Santa Quitéria, Catunda  [Municipality: Brazil]",,,,
"",76023025,,,"Monsenhor Tabosa, Boa Viagem  [Municipality: Brazil]",
76023026,Russas  [Municipality: Brazil],,,,
"",76023027,,,Icó  [Municipality: Brazil],
76023028,"Uruburetama, Umirim, Tururu, São Luís do Curu  [Municipality: Brazil]",,,,
"",76023029,,,"Tejuçuoca, Itapagé  [Municipality: Brazil]",
76023030,"Granja, Chaval  [Municipality: Brazil]",,,,
"",76023031,,,"Paraipaba, Paracuru  [Municipality: Brazil]",
76023032,"Redenção, Acarape, Barreira  [Municipality: Brazil]",,,,
"",76023033,,,"Porteiras, Brejo Santo  [Municipality: Brazil]",
76023034,"São Benedito, Graça  [Municipality: Brazil]",,,,
"",76023035,,,"Quixeré, Itaiçaba, Jaguaruana  [Municipality: Brazil]",
76023036,"Beberibe, Palhano  [Municipality: Brazil]",,,,
"",76023037,,,"Deputado Irapuan Pinheiro, Milhã, Solonópole, Jaguaretama  [Municipality: Brazil]",
76023038,"Ipueiras, Hidrolândia  [Municipality: Brazil]",,,,
"",76023039,,,Limoeiro do Norte  [Municipality: Brazil],
76023040,"Lavras da Mangabeira, Umari, Baixio, Ipaumirim  [Municipality: Brazil]",,,,
"",76023041,,,Tauá  [Municipality: Brazil],
76023042,Viçosa do Ceará  [Municipality: Brazil],,,,
"",76023043,,,Barbalha  [Municipality: Brazil],
76023044,Trairi  [Municipality: Brazil],,,,
"",76023045,,,"Ipaporanga, Ararendá, Nova Russas  [Municipality: Brazil]",
76023046,"Ipu, Pires Ferreira  [Municipality: Brazil]",,,,
"",76023047,,,"Salitre, Campos Sales, Antonina do Norte  [Municipality: Brazil]",
76023048,"Aracoiaba, Ocara  [Municipality: Brazil]",,,,
"",76023049,,,"Assaré, Tarrafas, Cariús  [Municipality: Brazil]",
76023050,"Jaguaribara, Iracema, Alto Santo, Potiretama  [Municipality: Brazil]",,,,
"",76023051,,,"Missão Velha, Abaiara  [Municipality: Brazil]",
76023052,"Quiterianópolis, Independência  [Municipality: Brazil]",,,,
"",76023053,,,"Ubajara, Frecheirinha  [Municipality: Brazil]",
76023054,Mauriti  [Municipality: Brazil],,,,
"",76023055,,,"Aratuba, Mulungu, Guaramiranga, Capistrano  [Municipality: Brazil]",
76023056,"Farias Brito, Caririaçu  [Municipality: Brazil]",,,,
